"city_key","name","center_lat","center_lng","source_name","source_url","imported_at","content_status"
"adana","Adana","37.502420425415124","35.63885116577154","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"adiyaman","Adıyaman","37.818777084350614","38.33137893676766","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"afyonkarahisar","Afyonkarahisar","","","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"agri","Ağrı","39.522737503051815","43.3758354187014","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"aksaray","Aksaray","38.47033309936529","33.81730842590338","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"amasya","Amasya","40.64015960693362","35.748954772949304","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"ankara","Ankara","39.6703643798829","32.410367012023954","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"antalya","Antalya","36.7582359313966","30.95719718933117","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"ardahan","Ardahan","41.11906051635739","42.806522369384936","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"artvin","Artvin","41.044666290283175","41.852766036987276","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"aydin","Aydın","37.71646690368655","27.939164161682328","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"balikesir","Balıkesir","39.85543632507344","27.7440834045411","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"bartin","Bartın","41.536464691162166","32.47552299499512","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"batman","Batman","38.048416137695284","41.453506469726534","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"bayburt","Bayburt","40.23321533203125","40.2441425323488","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"bilecik","Bilecik","40.10684394836437","30.20188045501709","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"bingol","Bingöl","39.02019691467294","40.64213371276867","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"bitlis","Bitlis","38.55448722839378","42.36004638671881","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"bolu","Bolu","40.59153366088867","31.568005561828727","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"burdur","Burdur","37.37944984436041","30.15182685852062","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"bursa","Bursa","40.078512191772575","29.032504081726103","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"canakkale","Çanakkale","40.1274871826173","26.622932434082003","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"cankiri","Çankırı","40.678222656250114","33.330326080322436","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"corum","Çorum","40.605691909790124","34.71375465393072","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"denizli","Denizli","37.66773414611822","29.296125411987475","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"diyarbakir","Diyarbakır","38.14095687866211","40.27259445190447","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"duzce","Düzce","40.89132690429685","31.315496444702205","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
"edirne","Edirne","41.29810523986822","26.50543212890659","Kültür Portalı / mevcut uygulama veri seti","https://www.kulturportali.gov.tr","2026-09-18T15:23:28.039Z","source_imported"
